Name,Role,Team,Results,Total Points,Avg Points Per Game,Game Played,Kill(+2),D(-0.5),A(+1.5),CS(+0.01),10+K/A(+2),"3K(+2),4K(+5),5k(+10)"
Bunny FuFuu,Support,Cloud9,,0,0,0,0,0,0,0,0,0 / 0 / 0
Contractz,Jungler,Cloud9,,619.3,17.2,45,117,110,333,"7,135",14,0 / 0 / 0
,,C9 vs. CLG,Loss (1-2),38.76,19.38,3,11,10,15,597,0,0 / 0 / 0
,,C9 vs. TSM,Loss (0-2),25.42,12.71,2,2,7,14,392,0,0 / 0 / 0
,,C9 vs. P1,Win (2-0),27.68,13.84,2,5,1,10,318,0,0 / 0 / 0
,,C9 vs. FOX,Win (2-0),42.25,21.13,2,9,7,15,325,1,0 / 0 / 0
,,C9 vs. IMT,Loss (1-2),32.83,16.42,3,8,12,22,538,1,0 / 0 / 0
,,C9 vs. FLY,Win (2-0),48.68,24.34,2,8,2,19,318,1,0 / 0 / 0
,,C9 vs. TL,Win (2-0),30.24,15.12,2,4,5,13,324,1,0 / 0 / 0
,,C9 vs. DIG,Win (2-1),24.71,12.36,3,2,5,23,538,2,0 / 0 / 0
,,C9 vs. TSM,Win (2-1),36.57,18.29,3,6,5,32,424,2,0 / 0 / 0
,,C9 vs. CLG,Loss (1-2),22.55,11.28,3,8,7,7,441,0,0 / 0 / 0
,,C9 vs. NV,Loss (0-2),13.53,6.77,2,2,9,7,353,0,0 / 0 / 0
,,C9 vs. IMT,Loss (1-2),51.38,25.69,3,10,11,33,490,1,0 / 0 / 0
,,C9 vs. P1,Win (2-1),32.23,16.12,3,13,4,23,503,1,0 / 0 / 0
,,C9 vs. DIG,Win (2-1),37.22,18.61,3,7,6,26,405,1,0 / 0 / 0
,,C9 vs. TL,Win (2-1),31.18,15.59,3,4,10,20,412,1,0 / 0 / 0
,,C9 vs. FLY,Win (2-0),47.35,23.68,2,10,2,17,285,0,0 / 0 / 0
,,C9 vs. NV,Win (2-0),39.12,19.56,2,4,4,19,262,1,0 / 0 / 0
,,C9 vs. FOX,Win (2-0),37.6,18.8,2,4,3,18,210,1,0 / 0 / 0
Impact,Top,Cloud9,,379.63,14.6,31,52,80,214,"7,729",8,1 / 0 / 0
,,C9 vs. TSM,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,C9 vs. P1,Win (2-0),0,0,0,0,0,0,0,0,0 / 0 / 0
,,C9 vs. FOX,Win (2-0),37.88,18.94,2,2,7,20,538,1,0 / 0 / 0
,,C9 vs. IMT,Loss (1-2),37.51,18.76,3,3,11,30,933,2,0 / 0 / 0
,,C9 vs. FLY,Win (2-0),36.86,18.43,2,6,5,13,586,0,1 / 0 / 0
,,C9 vs. TL,Win (2-0),27.49,13.75,2,1,6,14,549,1,0 / 0 / 0
,,C9 vs. DIG,Win (2-1),18.53,9.27,3,5,7,13,686,0,0 / 0 / 0
,,C9 vs. TSM,Win (2-1),7.43,7.43,1,1,1,2,293,0,0 / 0 / 0
,,C9 vs. CLG,Loss (1-2),6.84,6.84,1,1,7,4,234,0,0 / 0 / 0
,,C9 vs. NV,Loss (0-2),19.65,9.83,2,4,6,6,565,0,0 / 0 / 0
,,C9 vs. P1,Win (2-1),28.77,14.39,3,2,8,31,596,1,0 / 0 / 0
,,C9 vs. DIG,Win (2-1),37.9,18.95,3,10,8,26,802,2,0 / 0 / 0
,,C9 vs. TL,Win (2-1),27.7,13.85,3,5,6,16,690,0,0 / 0 / 0
,,C9 vs. FLY,Win (2-0),26.49,13.25,2,4,4,11,399,0,0 / 0 / 0
,,C9 vs. NV,Win (2-0),44.26,22.13,2,6,3,18,476,1,0 / 0 / 0
,,C9 vs. FOX,Win (2-0),22.32,11.16,2,2,1,10,382,0,0 / 0 / 0
Jensen,Mid,Cloud9,,814.09,22.61,45,256,57,240,"14,527",12,10/1/0000
,,C9 vs. CLG,Loss (1-2),48.22,24.11,3,13,8,19,"1,174",1,0 / 0 / 0
,,C9 vs. TSM,Loss (0-2),27.68,13.84,2,8,6,5,718,0,0 / 0 / 0
,,C9 vs. P1,Win (2-0),39.92,19.96,2,8,2,11,642,0,1 / 0 / 0
,,C9 vs. FOX,Win (2-0),62.11,31.06,2,13,3,17,811,1,1 / 0 / 0
,,C9 vs. IMT,Loss (1-2),45.27,22.64,3,24,3,11,"1,098",1,2 / 0 / 0
,,C9 vs. FLY,Win (2-0),59.95,29.98,2,16,1,12,645,1,1 / 0 / 0
,,C9 vs. TL,Win (2-0),49.4,24.7,2,15,1,7,740,1,0 / 0 / 0
,,C9 vs. DIG,Win (2-1),27.99,14,3,18,2,10,919,0,0 / 0 / 0
,,C9 vs. TSM,Win (2-1),38.18,19.09,3,13,7,21,857,1,0 / 0 / 0
,,C9 vs. CLG,Loss (1-2),28.44,14.22,3,6,6,10,953,0,0 / 0 / 0
,,C9 vs. NV,Loss (0-2),20.97,10.49,2,5,1,3,697,0,0 / 0 / 0
,,C9 vs. IMT,Loss (1-2),58,29,3,16,2,24,"1,124",1,1 / 0 / 0
,,C9 vs. P1,Win (2-1),54.08,27.04,3,16,8,28,801,1,1 / 0 / 2
,,C9 vs. DIG,Win (2-1),37.24,18.62,3,14,2,20,912,0,1 / 0 / 0
,,C9 vs. TL,Win (2-1),43.23,21.62,3,19,1,10,895,1,1 / 0 / 0
,,C9 vs. FLY,Win (2-0),72.91,36.46,2,25,2,10,491,2,0 / 0 / 0
,,C9 vs. NV,Win (2-0),64.39,32.2,2,20,1,10,589,1,1 / 0 / 0
,,C9 vs. FOX,Win (2-0),36.11,18.06,2,7,1,12,461,0,0 / 0 / 0
Ray,Top,Cloud9,,191.59,15.97,14,24,39,90,"4,141",4,0 / 0 / 0
,,C9 vs. CLG,Loss (1-2),32.68,16.34,3,2,9,19,"1,160",1,0 / 0 / 0
,,C9 vs. TSM,Loss (0-2),15.34,7.67,2,2,9,7,534,0,0 / 0 / 0
,,C9 vs. P1,Win (2-0),32.99,16.5,2,5,2,12,599,0,0 / 0 / 0
,,C9 vs. FLY,Win (2-0),0,0,0,0,0,0,0,0,0 / 0 / 0
,,C9 vs. TSM,Win (2-1),51.64,25.82,2,8,6,20,464,2,0 / 0 / 0
,,C9 vs. CLG,Loss (1-2),17.55,8.78,2,0,2,9,505,0,0 / 0 / 0
,,C9 vs. IMT,Loss (1-2),41.39,20.7,3,7,11,23,879,1,0 / 0 / 0
,,C9 vs. P1,Win (2-1),0,0,0,0,0,0,0,0,0 / 0 / 0
,,C9 vs. FLY,Win (2-0),0,0,0,0,0,0,0,0,0 / 0 / 0
Smoothie,Support,Cloud9,,575.12,15.98,45,39,96,451,"1,048",21,0 / 0 / 0
,,C9 vs. CLG,Loss (1-2),37.9,18.95,3,3,8,31,55,1,0 / 0 / 0
,,C9 vs. TSM,Loss (0-2),17.91,8.96,2,2,6,11,41,0,0 / 0 / 0
,,C9 vs. P1,Win (2-0),28.95,14.48,2,1,1,18,45,0,0 / 0 / 0
,,C9 vs. FOX,Win (2-0),38.6,19.3,2,3,6,22,60,1,0 / 0 / 0
,,C9 vs. IMT,Loss (1-2),31.67,15.84,3,6,13,24,116,1,0 / 0 / 0
,,C9 vs. FLY,Win (2-0),55.6,27.8,2,1,4,34,60,2,0 / 0 / 0
,,C9 vs. TL,Win (2-0),36.18,18.09,2,0,2,23,68,1,0 / 0 / 0
,,C9 vs. DIG,Win (2-1),14.09,7.05,3,2,5,27,71,1,0 / 0 / 0
,,C9 vs. TSM,Win (2-1),24.55,12.28,3,3,7,30,67,2,0 / 0 / 0
,,C9 vs. CLG,Loss (1-2),22.13,11.07,3,3,6,16,80,0,0 / 0 / 0
,,C9 vs. NV,Loss (0-2),11.45,5.73,2,0,5,9,45,0,0 / 0 / 0
,,C9 vs. IMT,Loss (1-2),42.87,21.44,3,8,8,31,58,2,0 / 0 / 0
,,C9 vs. P1,Win (2-1),34.78,17.39,3,1,7,42,70,2,0 / 0 / 0
,,C9 vs. DIG,Win (2-1),36.42,18.21,3,1,3,40,52,2,0 / 0 / 0
,,C9 vs. TL,Win (2-1),22.75,11.38,3,4,5,19,33,1,0 / 0 / 0
,,C9 vs. FLY,Win (2-0),44.47,22.24,2,0,4,28,47,2,0 / 0 / 0
,,C9 vs. NV,Win (2-0),42.86,21.43,2,1,5,26,36,2,0 / 0 / 0
,,C9 vs. FOX,Win (2-0),31.94,15.97,2,0,1,20,44,1,0 / 0 / 0
Sneaky,AD Carry,Cloud9,,659.76,18.33,45,146,88,296,"13,581",10,3/1/0000
,,C9 vs. CLG,Loss (1-2),43.95,21.98,3,9,12,24,"1,225",0,0 / 0 / 0
,,C9 vs. TSM,Loss (0-2),29.64,14.82,2,4,3,10,814,0,0 / 0 / 0
,,C9 vs. P1,Win (2-0),35.36,17.68,2,5,1,12,586,0,1 / 0 / 0
